ID	premise_en	hypothesis_en	gold	content-type	inference-pattern	modal
1	You are not required to attend the meeting.	You are permitted not to attend the meeting.	entailment	congruent	NotMu-MiNot	deontic
2	It is not obligatory to eat breakfast.	It is permissible not to eat breakfast.	entailment	congruent	NotMu-MiNot	deontic
3	There is no obligation to reply to the email.	You are allowed not to reply to the email.	entailment	congruent	NotMu-MiNot	deontic
4	It is not mandatory to take a shower every day.	It is acceptable not to take a shower every day.	entailment	congruent	NotMu-MiNot	deontic
5	It is not the case that you must believe in God.	You can choose not to believe in God.	entailment	congruent	NotMu-MiNot	deontic
6	It is not obligatory to follow the rules.	You are permitted not to follow the rules.	entailment	congruent	NotMu-MiNot	deontic
7	You are not required to love your parents.	It is acceptable not to love your parents.	entailment	congruent	NotMu-MiNot	deontic
8	There is no obligation to donate to charity.	You are allowed not to donate to charity.	entailment	congruent	NotMu-MiNot	deontic
9	It is not mandatory to vote in the election.	You can choose not to vote in the election.	entailment	congruent	NotMu-MiNot	deontic
10	It is not the case that you must have children.	It is permissible not to have children.	entailment	congruent	NotMu-MiNot	deontic
11	You are not required to wear a suit.	You are allowed not to wear a suit.	entailment	congruent	NotMu-MiNot	deontic
12	It is not obligatory to be polite.	It is acceptable not to be polite.	entailment	congruent	NotMu-MiNot	deontic
13	There is no obligation to agree with everyone.	You can choose not to agree with everyone.	entailment	congruent	NotMu-MiNot	deontic
14	It is not mandatory to go to college.	It is permissible not to go to college.	entailment	congruent	NotMu-MiNot	deontic
15	It is not the case that you must own a car.	You are permitted not to own a car.	entailment	congruent	NotMu-MiNot	deontic
16	It is not obligatory to exercise every day.	You are allowed not to exercise every day.	entailment	congruent	NotMu-MiNot	deontic
17	You are not required to have a Facebook account.	It is acceptable not to have a Facebook account.	entailment	congruent	NotMu-MiNot	deontic
18	There is no obligation to drink alcohol.	You can choose not to drink alcohol.	entailment	congruent	NotMu-MiNot	deontic
19	It is not mandatory to celebrate Christmas.	It is permissible not to celebrate Christmas.	entailment	congruent	NotMu-MiNot	deontic
20	It is not the case that you must like your job.	You are permitted not to like your job.	entailment	congruent	NotMu-MiNot	deontic
21	It is not obligatory to love your children.	It is permissible not to love your children.	entailment	incongruent	NotMu-MiNot	deontic
22	There is no obligation to eat when you're hungry.	You are permitted not to eat when you're hungry.	entailment	incongruent	NotMu-MiNot	deontic
23	You are not required to sleep when tired.	You are allowed not to sleep when tired.	entailment	incongruent	NotMu-MiNot	deontic
24	It is not mandatory to breathe.	It is acceptable not to breathe.	entailment	incongruent	NotMu-MiNot	deontic
25	It is not the case that you must have a pulse.	You can choose not to have a pulse.	entailment	incongruent	NotMu-MiNot	deontic
26	It is not obligatory to show remorse for your actions.	It is permissible not to show remorse for your actions.	entailment	incongruent	NotMu-MiNot	deontic
27	There is no obligation to wear clothes in public.	You are permitted not to wear clothes in public.	entailment	incongruent	NotMu-MiNot	deontic
28	You are not required to help someone in danger.	You are allowed not to help someone in danger.	entailment	incongruent	NotMu-MiNot	deontic
29	It is not mandatory to go to the doctor when sick.	It is acceptable not to go to the doctor when sick.	entailment	incongruent	NotMu-MiNot	deontic
30	It is not the case that you must be kind to animals.	You can choose not to be kind to animals.	entailment	incongruent	NotMu-MiNot	deontic
31	It is not obligatory to feel pain when injured.	It is permissible not to feel pain when injured.	entailment	incongruent	NotMu-MiNot	deontic
32	There is no obligation to stop at a red light.	You are permitted not to stop at a red light.	entailment	incongruent	NotMu-MiNot	deontic
33	You are not required to pay for goods you receive.	You are allowed not to pay for goods you receive.	entailment	incongruent	NotMu-MiNot	deontic
34	It is not mandatory to tell the truth.	It is acceptable not to tell the truth.	entailment	incongruent	NotMu-MiNot	deontic
35	It is not the case that you must keep promises.	You can choose not to keep promises.	entailment	incongruent	NotMu-MiNot	deontic
36	It is not obligatory to grow old.	It is permissible not to grow old.	entailment	incongruent	NotMu-MiNot	deontic
37	There is no obligation to learn from your mistakes.	You are permitted not to learn from your mistakes.	entailment	incongruent	NotMu-MiNot	deontic
38	You are not required to care for your family.	You are allowed not to care for your family.	entailment	incongruent	NotMu-MiNot	deontic
39	It is not mandatory to evolve as a person.	It is acceptable not to evolve as a person.	entailment	incongruent	NotMu-MiNot	deontic
40	It is not the case that you must respect others' property.	You can choose not to respect others' property.	entailment	incongruent	NotMu-MiNot	deontic
41	It is not obligatory to flibbertigibbet.	It is permissible not to flibbertigibbet.	entailment	nonsense	NotMu-MiNot	deontic
42	You are not required to gobbledygook.	You are permitted not to gobbledygook.	entailment	nonsense	NotMu-MiNot	deontic
43	There is no obligation to hootenanny.	You are allowed not to hootenanny.	entailment	nonsense	NotMu-MiNot	deontic
