premises_ja	hypothesis_ja	premises_en	hypothesis_en	gold	figure	conversion	content-type	atmosphere	syllogism-type
あるAはBである。すべてのBはCである。	すべてのAはCである。	Some A are B. All B are C.	All A are C.	neutral	IAA	no	symbol	no	syllogism
あるAはBである。すべてのBはCである。	あるAはCである。	Some A are B. All B are C.	Some A are C.	entailment	IAI	no	symbol	no	syllogism
あるAはBである。すべてのBはCである。	どのAもCでない。	Some A are B. All B are C.	No A are C.	contradiction	IAE	no	symbol	no	syllogism
すべてのAはBである。すべてのBはCである。	すべてのAはCである。	All A are B. All B are C.	All A are C.	entailment	AAA	no	symbol	no	syllogism
すべてのAはBである。すべてのBはCである。	あるAはCでない。	All A are B. All B are C.	Some A are not C.	contradiction	AAO	no	symbol	no	syllogism
すべてのAはBである。すべてのBはCである。	すべてのCはAである。	All A are B. All B are C.	All C are A.	neutral	AAA	yes	symbol	no	syllogism
あるAはBである。どのBもCでない。	あるAはCでない。	Some A are B. No B are C.	Some A are not C.	entailment	IEO	no	symbol	no	syllogism
あるAはBである。どのBもCでない。	どのAもCでない。	Some A are B. No B are C.	No A are C.	neutral	IEE	no	symbol	no	syllogism
あるAはBである。どのBもCでない。	あるAはCである。	Some A are B. No B are C.	Some A are C.	neutral	IEI	no	symbol	yes	syllogism
すべてのAはBである。どのBもCでない。	すべてのAはCである。	All A are B. No B are C.	All A are C.	contradiction	AEA	no	symbol	no	syllogism
すべてのAはBである。どのBもCでない。	あるAはCである。	All A are B. No B are C.	Some A are C.	contradiction	AEI	no	symbol	no	syllogism
すべてのAはBである。どのBもCでない。	どのAもCでない。	All A are B. No B are C.	No A are C.	entailment	AEE	no	symbol	no	syllogism
あるBはAである。どのBもCでない。	あるAはCである。	Some B are A. No B are C.	Some A are C.	neutral	IEI	no	symbol	yes	syllogism
あるBはAである。どのBもCでない。	あるAはCでない。	Some B are A. No B are C.	Some A are not C.	entailment	IEO	no	symbol	no	syllogism
あるBはAである。どのBもCでない。	どのAもCでない。	Some B are A. No B are C.	No A are C.	neutral	IEE	no	symbol	no	syllogism
すべてのBはAである。あるBはCである。	すべてのAはCである。	All B are A. Some B are C.	All A are C.	neutral	AIA	no	symbol	no	syllogism
すべてのBはAである。あるBはCである。	あるAはCである。	All B are A. Some B are C.	Some A are C.	entailment	AII	no	symbol	no	syllogism
すべてのBはAである。あるBはCである。	あるAはCでない。	All B are A. Some B are C.	Some A are not C.	neutral	AIO	no	symbol	yes	syllogism
すべてのBはAである。あるBはCでない。	あるAはCである。	All B are A. Some B are not C.	Some A are C.	neutral	AOI	no	symbol	yes	syllogism
すべてのBはAである。あるBはCでない。	あるAはCでない。	All B are A. Some B are not C.	Some A are not C.	entailment	AOO	no	symbol	no	syllogism
すべてのBはAである。あるBはCでない。	どのAもCでない。	All B are A. Some B are not C.	No A are C.	neutral	AOE	no	symbol	yes	syllogism
すべてのAはBである。あるCはBでない。	あるAはCである。	All A are B. Some C are not B.	Some A are C.	neutral	AOE	no	symbol	yes	syllogism
すべてのAはBである。あるCはBでない。	どのAもCでない。	All A are B. Some C are not B.	No A are C.	neutral	AOE	no	symbol	yes	syllogism
すべてのAはBである。あるCはBでない。	あるCはAでない。	All A are B. Some C are not B.	Some C are not A.	entailment	AOO	no	symbol	no	syllogism
あるAはBでない。すべてのCはBである。	あるAはCである。	Some A are not B. All C are B.	Some A are C.	neutral	OAI	no	symbol	yes	syllogism
あるAはBでない。すべてのCはBである。	あるAはCでない。	Some A are not B. All C are B.	Some A are not C.	entailment	OAO	no	symbol	no	syllogism
あるAはBでない。すべてのCはBである。	どのAもCでない。	Some A are not B. All C are B.	No A are C.	neutral	OAE	no	symbol	yes	syllogism
すべてのAはBである。どのCもBでない。	すべてのAはCである。	All A are B. No C are B.	All A are C.	contradiction	AEA	no	symbol	no	syllogism
