ID	premise_en	hypothesis_en	gold	content-type	inference-pattern	modal
1	It is not certain that the new policy will reduce crime rates.	The new policy might not reduce crime rates.	entailment	congruent	NotMu-MiNot	epistemic
2	It is not necessarily the case that the defendant is guilty.	The defendant might not be guilty.	entailment	congruent	NotMu-MiNot	epistemic
3	It is not known that the universe is infinite.	The universe might not be infinite.	entailment	congruent	NotMu-MiNot	epistemic
4	It is not established that the vaccine prevents all variants of the virus.	There's a chance the vaccine does not prevent all variants of the virus.	entailment	congruent	NotMu-MiNot	epistemic
5	It is not the case that the ancient city must have been destroyed by an earthquake.	The ancient city might not have been destroyed by an earthquake.	entailment	congruent	NotMu-MiNot	epistemic
6	It is not certain that the company will meet its financial targets this year.	There is a possibility that the company will not meet its financial targets this year.	entailment	congruent	NotMu-MiNot	epistemic
7	It is not necessarily the case that the painting is authentic.	The painting might not be authentic.	entailment	congruent	NotMu-MiNot	epistemic
8	It is not known that dark matter exists.	Dark matter might not exist.	entailment	congruent	NotMu-MiNot	epistemic
9	It is not established that bilingualism improves cognitive function.	It is possible that bilingualism does not improve cognitive function.	entailment	congruent	NotMu-MiNot	epistemic
10	It is not the case that the manuscript must have been written in the 15th century.	The manuscript might not have been written in the 15th century.	entailment	congruent	NotMu-MiNot	epistemic
11	It is not certain that the economy will recover quickly.	The economy might not recover quickly.	entailment	congruent	NotMu-MiNot	epistemic
12	It is not necessarily the case that the suspect is cooperating with the investigation.	The suspect might not be cooperating with the investigation.	entailment	congruent	NotMu-MiNot	epistemic
13	It is not known that extraterrestrial life exists.	Extraterrestrial life might not exist.	entailment	congruent	NotMu-MiNot	epistemic
14	It is not established that the treatment is effective for all patients.	There is a possibility that the treatment is not effective for all patients.	entailment	congruent	NotMu-MiNot	epistemic
15	It is not the case that the bridge must have been designed by that architect.	The bridge might not have been designed by that architect.	entailment	congruent	NotMu-MiNot	epistemic
16	It is not certain that the government will implement the proposed reforms.	The government might not implement the proposed reforms.	entailment	congruent	NotMu-MiNot	epistemic
17	It is not necessarily the case that the witness is telling the truth.	The witness might not be telling the truth.	entailment	congruent	NotMu-MiNot	epistemic
18	It is not known that the lost city is located in that region.	The lost city might not be located in that region.	entailment	congruent	NotMu-MiNot	epistemic
19	It is not established that the theory is supported by the available evidence.	It is possible that the theory is not supported by the available evidence.	entailment	congruent	NotMu-MiNot	epistemic
20	It is not the case that the artifact must have been made of gold.	The artifact might not have been made of gold.	entailment	congruent	NotMu-MiNot	epistemic
21	It is not certain that the sun emits light.	The sun might not emit light.	entailment	incongruent	NotMu-MiNot	epistemic
22	It is not necessarily the case that water is wet.	Water might not be wet.	entailment	incongruent	NotMu-MiNot	epistemic
23	It is not known that fire is hot.	There's a chance fire is not hot.	entailment	incongruent	NotMu-MiNot	epistemic
24	It is not established that ice is cold.	There is a possibility that ice is not cold.	entailment	incongruent	NotMu-MiNot	epistemic
25	It is not the case that humans must have been bipedal.	Humans might not have been bipedal.	entailment	incongruent	NotMu-MiNot	epistemic
26	It is not certain that plants need water to survive.	Plants might not need water to survive.	entailment	incongruent	NotMu-MiNot	epistemic
27	It is not necessarily the case that the earth revolves around the sun.	The earth might not revolve around the sun.	entailment	incongruent	NotMu-MiNot	epistemic
28	It is not known that fish can breathe underwater.	Fish might not be able to breathe underwater.	entailment	incongruent	NotMu-MiNot	epistemic
29	It is not established that birds can fly.	There's a chance birds cannot fly.	entailment	incongruent	NotMu-MiNot	epistemic
30	It is not the case that mammals must have been warm-blooded.	Mammals might not have been warm-blooded.	entailment	incongruent	NotMu-MiNot	epistemic
31	It is not certain that sugar is sweet.	Sugar might not be sweet.	entailment	incongruent	NotMu-MiNot	epistemic
32	It is not necessarily the case that lemons are sour.	Lemons might not be sour.	entailment	incongruent	NotMu-MiNot	epistemic
33	It is not known that the sky is blue.	There is a possibility that the sky is not blue.	entailment	incongruent	NotMu-MiNot	epistemic
34	It is not established that grass is green.	Grass might not be green.	entailment	incongruent	NotMu-MiNot	epistemic
35	It is not the case that deserts must have been dry.	Deserts might not have been dry.	entailment	incongruent	NotMu-MiNot	epistemic
36	It is not certain that computers require electricity to function.	Computers might not require electricity to function.	entailment	incongruent	NotMu-MiNot	epistemic
37	It is not necessarily the case that phones need batteries.	Phones might not need batteries.	entailment	incongruent	NotMu-MiNot	epistemic
38	It is not known that airplanes can fly.	There's a chance airplanes cannot fly.	entailment	incongruent	NotMu-MiNot	epistemic
39	It is not established that trains run on rails.	There is a possibility that trains do not run on rails.	entailment	incongruent	NotMu-MiNot	epistemic
40	It is not the case that bicycles must have had two wheels.	Bicycles might not have had two wheels.	entailment	incongruent	NotMu-MiNot	epistemic
41	It is not certain that the flooglehorp is grimbling the zizzle.	The flooglehorp might not be grimbling the zizzle.	entailment	nonsense	NotMu-MiNot	epistemic
42	It is not necessarily the case that the quango is fizzbinning the grommet.	The quango might not be fizzbinning the grommet.	entailment	nonsense	NotMu-MiNot	epistemic
43	It is not known that the wibble is frabjous.	The wibble might not be frabjous.	entailment	nonsense	NotMu-MiNot	epistemic
44	It is not established that the gardyloo is galumphing the bandersnatch.	There's a chance the gardyloo is not galumphing the bandersnatch.	entailment	nonsense	NotMu-MiNot	epistemic
45	It is not the case that the yargle must have been squiffling the jubjub.	The yargle might not have been squiffling the jubjub.	entailment	nonsense	NotMu-MiNot	epistemic
46	It is not certain that the flummox is outgrabing the slithy tove.	There is a possibility that the flummox is not outgrabing the slithy tove.	entailment	nonsense	NotMu-MiNot	epistemic
47	It is not necessarily the case that the grockle is gyring the mome rath.	The grockle might not be gyring the mome rath.	entailment	nonsense	NotMu-MiNot	epistemic
48	It is not known that the chortle is mimsy.	The chortle might not be mimsy.	entailment	nonsense	NotMu-MiNot	epistemic
49	It is not established that the uffish thought is calloohing the bandersnatch.	It is possible that the uffish thought is not calloohing the bandersnatch.	entailment	nonsense	NotMu-MiNot	epistemic
50	It is not the case that the tulgey wood must have been whiffling the jubjub bird.	The tulgey wood might not have been whiffling the jubjub bird.	entailment	nonsense	NotMu-MiNot	epistemic
51	It is not certain that the frabjous bandersnatch is gimbling the rathe.	The frabjous bandersnatch might not be gimbling the rathe.	entailment	nonsense	NotMu-MiNot	epistemic
52	It is not necessarily the case that the callay is outgrabing the uffish thought.	The callay might not be outgrabing the uffish thought.	entailment	nonsense	NotMu-MiNot	epistemic
53	It is not known that the slithy toves is frabjous.	The slithy toves might not be frabjous.	entailment	nonsense	NotMu-MiNot	epistemic
54	It is not established that the mome raths is galumphing the bandersnatch.	There's a chance the mome raths is not galumphing the bandersnatch.	entailment	nonsense	NotMu-MiNot	epistemic
55	It is not the case that the jubjub bird must have been squiffling the jubjub.	The jubjub bird might not have been squiffling the jubjub.	entailment	nonsense	NotMu-MiNot	epistemic
56	It is not certain that the whiffling pig is outgrabing the slithy tove.	There is a possibility that the whiffling pig is not outgrabing the slithy tove.	entailment	nonsense	NotMu-MiNot	epistemic
57	It is not necessarily the case that the mimsy borogove is gyring the mome rath.	The mimsy borogove might not be gyring the mome rath.	entailment	nonsense	NotMu-MiNot	epistemic
58	It is not known that the rathe is mimsy.	The rathe might not be mimsy.	entailment	nonsense	NotMu-MiNot	epistemic
59	It is not established that the bandersnatch is calloohing the bandersnatch.	It is possible that the bandersnatch is not calloohing the bandersnatch.	entailment	nonsense	NotMu-MiNot	epistemic
60	It is not the case that the jubjub must have been whiffling the jubjub bird.	The jubjub might not have been whiffling the jubjub bird.	entailment	nonsense	NotMu-MiNot	epistemic
61	It is not possible that a person can learn to play a musical instrument perfectly in a week.	It is certain that a person cannot learn to play a musical instrument perfectly in a week.	entailment	congruent	NotMi-MuNot	epistemic
62	It is not the case that the feeling of anger might have been solely caused by a lack of sleep.	It is necessarily the case that the feeling of anger is not solely caused by a lack of sleep.	entailment	congruent	NotMi-MuNot	epistemic
63	It is impossible that a complex habit, like quitting smoking, can be fully formed in just three days.	It is known that a complex habit, like quitting smoking, cannot be fully formed in just three days.	entailment	congruent	NotMi-MuNot	epistemic
64	There's no chance that a hurricane's path can be predicted with complete accuracy a month in advance.	It is established that a hurricane's path cannot be predicted with complete accuracy a month in advance.	entailment	congruent	NotMi-MuNot	epistemic
65	There is no possibility that the Renaissance was solely triggered by the rediscovery of ancient Greek texts.	The Renaissance could not have been solely triggered by the rediscovery of ancient Greek texts.	entailment	congruent	NotMi-MuNot	epistemic
66	It is not possible that a country's economic growth can be solely attributed to its natural resources.	It is certain that a country's economic growth cannot be solely attributed to its natural resources.	entailment	congruent	NotMi-MuNot	epistemic
67	It is not the case that the invention of the automobile might have led to a decrease in urban populations.	It is necessarily the case that the invention of the automobile did not lead to a decrease in urban populations.	entailment	congruent	NotMi-MuNot	epistemic
68	It is impossible that a person's moral values are entirely determined by their cultural background.	It is known that a person's moral values are not entirely determined by their cultural background.	entailment	congruent	NotMi-MuNot	epistemic
69	There's no chance that unemployment can be completely eliminated from a developed economy.	It is established that unemployment cannot be completely eliminated from a developed economy.	entailment	congruent	NotMi-MuNot	epistemic
70	There is no possibility that all languages evolved from a single proto-language spoken in Africa.	All languages could not have evolved from a single proto-language spoken in Africa.	entailment	congruent	NotMi-MuNot	epistemic
71	It is not possible that a person can read a 500-page book in one hour.	It is certain that a person cannot read a 500-page book in one hour.	entailment	congruent	NotMi-MuNot	epistemic
72	It is not the case that the development of writing might have led to a decline in oral storytelling traditions.	It is necessarily the case that the development of writing did not lead to a decline in oral storytelling traditions.	entailment	congruent	NotMi-MuNot	epistemic
73	It is impossible that a society can function without any form of leadership or authority.	It is known that a society cannot function without any form of leadership or authority.	entailment	congruent	NotMi-MuNot	epistemic
74	There's no chance that deforestation can be completely reversed in the next ten years.	It is established that deforestation cannot be completely reversed in the next ten years.	entailment	congruent	NotMi-MuNot	epistemic
75	There is no possibility that the human brain can perform calculations as fast as a supercomputer.	The human brain could not have performed calculations as fast as a supercomputer.	entailment	congruent	NotMi-MuNot	epistemic
76	It is not possible that a person's emotions can be perfectly controlled through medication.	It is certain that a person's emotions cannot be perfectly controlled through medication.	entailment	congruent	NotMi-MuNot	epistemic
77	It is not the case that the discovery of fire might have led to a decrease in human cooperation.	It is necessarily the case that the discovery of fire did not lead to a decrease in human cooperation.	entailment	congruent	NotMi-MuNot	epistemic
78	It is impossible that a single scientific theory can explain all phenomena in the universe.	It is known that a single scientific theory cannot explain all phenomena in the universe.	entailment	congruent	NotMi-MuNot	epistemic
79	There's no chance that poverty can be completely eradicated globally in the next two decades.	It is established that poverty cannot be completely eradicated globally in the next two decades.	entailment	congruent	NotMi-MuNot	epistemic
80	There is no possibility that all human creativity stems from a single area of the brain.	All human creativity could not have stemmed from a single area of the brain.	entailment	congruent	NotMi-MuNot	epistemic
81	It is not possible that the sun orbits the Earth.	It is certain that the sun does not orbit the Earth.	entailment	incongruent	NotMi-MuNot	epistemic
82	It is not the case that water might have been dry.	It is necessarily the case that water is not dry.	entailment	incongruent	NotMi-MuNot	epistemic
83	It is impossible that fire produces ice.	It is known that fire does not produce ice.	entailment	incongruent	NotMi-MuNot	epistemic
84	There's no chance that birds can fly.	It is established that birds cannot fly.	entailment	incongruent	NotMi-MuNot	epistemic
85	There is no possibility that humans need oxygen to breathe.	Humans could not have been breathing oxygen.	entailment	incongruent	NotMi-MuNot	epistemic
86	It is not possible that plants need sunlight to grow.	It is certain that plants do not need sunlight to grow.	entailment	incongruent	NotMi-MuNot	epistemic
87	It is not the case that sugar might have been sweet.	It is necessarily the case that sugar is not sweet.	entailment	incongruent	NotMi-MuNot	epistemic
88	It is impossible that computers can process information.	It is known that computers cannot process information.	entailment	incongruent	NotMi-MuNot	epistemic
89	There's no chance that the Earth is round.	It is established that the Earth is not round.	entailment	incongruent	NotMi-MuNot	epistemic
90	There is no possibility that exercise is good for health.	Exercise could not have been good for health.	entailment	incongruent	NotMi-MuNot	epistemic
91	It is not possible that fish live underwater.	It is certain that fish do not live underwater.	entailment	incongruent	NotMi-MuNot	epistemic
92	It is not the case that the sky might have been blue.	It is necessarily the case that the sky is not blue.	entailment	incongruent	NotMi-MuNot	epistemic
93	It is impossible that deserts are dry.	It is known that deserts are not dry.	entailment	incongruent	NotMi-MuNot	epistemic
94	There's no chance that ice cream is cold.	It is established that ice cream is not cold.	entailment	incongruent	NotMi-MuNot	epistemic
95	There is no possibility that education is important.	Education could not have been important.	entailment	incongruent	NotMi-MuNot	epistemic
96	It is not possible that historical events happened in the past.	It is certain that historical events did not happen in the past.	entailment	incongruent	NotMi-MuNot	epistemic
97	It is not the case that art might have been expressive.	It is necessarily the case that art is not expressive.	entailment	incongruent	NotMi-MuNot	epistemic
98	It is impossible that music has rhythm.	It is known that music does not have rhythm.	entailment	incongruent	NotMi-MuNot	epistemic
99	There's no chance that literature tells stories.	It is established that literature does not tell stories.	entailment	incongruent	NotMi-MuNot	epistemic
100	There is no possibility that sleep is necessary for rest.	Sleep could not have been necessary for rest.	entailment	incongruent	NotMi-MuNot	epistemic
101	It is not possible that a flibbertigibbet can be zozzled.	It is certain that a flibbertigibbet cannot be zozzled.	entailment	nonsense	NotMi-MuNot	epistemic
102	It is not the case that a quango might have been fizzbinned.	It is necessarily the case that a quango is not fizzbinned.	entailment	nonsense	NotMi-MuNot	epistemic
103	It is impossible that a wibble can be frabjous.	It is known that a wibble cannot be frabjous.	entailment	nonsense	NotMi-MuNot	epistemic
104	There's no chance that a gardyloo can be galumphing.	It is established that a gardyloo cannot be galumphing.	entailment	nonsense	NotMi-MuNot	epistemic
105	There is no possibility that a yargle can be squiffling.	A yargle could not have been squiffling.	entailment	nonsense	NotMi-MuNot	epistemic
106	It is not possible that a flummox can be outgrabing.	It is certain that a flummox cannot be outgrabing.	entailment	nonsense	NotMi-MuNot	epistemic
107	It is not the case that a grockle might have been gyring.	It is necessarily the case that a grockle is not gyring.	entailment	nonsense	NotMi-MuNot	epistemic
108	It is impossible that a chortle can be mimsy.	It is known that a chortle cannot be mimsy.	entailment	nonsense	NotMi-MuNot	epistemic
109	There's no chance that an uffish thought can be calloohing.	It is established that an uffish thought cannot be calloohing.	entailment	nonsense	NotMi-MuNot	epistemic
110	There is no possibility that a tulgey wood can be whiffling.	A tulgey wood could not have been whiffling.	entailment	nonsense	NotMi-MuNot	epistemic
111	It is not possible that a frabjous bandersnatch can be gimbling.	It is certain that a frabjous bandersnatch cannot be gimbling.	entailment	nonsense	NotMi-MuNot	epistemic
112	It is not the case that a callay might have been outgrabing.	It is necessarily the case that a callay is not outgrabing.	entailment	nonsense	NotMi-MuNot	epistemic
113	It is impossible that a slithy toves can be frabjous.	It is known that a slithy toves cannot be frabjous.	entailment	nonsense	NotMi-MuNot	epistemic
114	There's no chance that a mome raths can be galumphing.	It is established that a mome raths cannot be galumphing.	entailment	nonsense	NotMi-MuNot	epistemic
115	There is no possibility that a jubjub bird can be squiffling.	A jubjub bird could not have been squiffling.	entailment	nonsense	NotMi-MuNot	epistemic
