ID	premise_en	hypothesis_en	gold	content-type	inference-pattern	modal
1	If you are a student, then it is obligatory to attend class. You are a student.	It is obligatory to attend class.	entailment	congruent	Hyp-MP	deontic
2	If you are a citizen, then there is an obligation to vote in elections. You are a citizen.	There is an obligation to vote in elections.	entailment	congruent	Hyp-MP	deontic
3	If you are a witness to a crime, then you are required to report it to the police. You are a witness to a crime.	You are required to report it to the police.	entailment	congruent	Hyp-MP	deontic
4	If you are a doctor, then it is mandatory to treat your patients with care. You are a doctor.	It is mandatory to treat your patients with care.	entailment	congruent	Hyp-MP	deontic
5	If you are a parent, then you must provide for your children. You are a parent.	You must provide for your children.	entailment	congruent	Hyp-MP	deontic
6	If you are driving a car, then you must obey the traffic laws. You are driving a car.	You must obey the traffic laws.	entailment	congruent	Hyp-MP	deontic
7	If you are using public transportation, then you are required to pay the fare. You are using public transportation.	You are required to pay the fare.	entailment	congruent	Hyp-MP	deontic
8	If you are borrowing money, then it is obligatory to repay the loan. You are borrowing money.	It is obligatory to repay the loan.	entailment	congruent	Hyp-MP	deontic
9	If you are entering a contract, then you must understand the terms and conditions. You are entering a contract.	You must understand the terms and conditions.	entailment	congruent	Hyp-MP	deontic
10	If you are making a promise, then you must keep your word. You are making a promise.	You must keep your word.	entailment	congruent	Hyp-MP	deontic
11	If you are attending a funeral, then it is customary to wear black. You are attending a funeral.	It is customary to wear black.	entailment	congruent	Hyp-MP	deontic
12	If you are visiting a foreign country, then you must respect the local customs. You are visiting a foreign country.	You must respect the local customs.	entailment	congruent	Hyp-MP	deontic
13	If you are eating at a restaurant, then you are required to pay for your meal. You are eating at a restaurant.	You are required to pay for your meal.	entailment	congruent	Hyp-MP	deontic
14	If you are staying in a hotel, then you must check out by the specified time. You are staying in a hotel.	You must check out by the specified time.	entailment	congruent	Hyp-MP	deontic
15	If you are using someone else's property, then you must treat it with respect. You are using someone else's property.	You must treat it with respect.	entailment	congruent	Hyp-MP	deontic
