ID	ORIGINAL_ID	premises_ja	hypothesis_ja	premises_en	hypothesis_en	gold	mood	inference-type	content-type	conversion	atmosphere
1	1	あるAはBである。すべてのBはCである。	すべてのAはCである。	Some A are B. All B are C.	All A are C.	neutral	IAA	syllogism	symbolic	no	no
2	2	あるAはBである。すべてのBはCである。	あるAはCである。	Some A are B. All B are C.	Some A are C.	entailment	IAI	syllogism	symbolic	no	no
3	3	あるAはBである。すべてのBはCである。	どのAもCでない。	Some A are B. All B are C.	No A are C.	contradiction	IAE	syllogism	symbolic	no	no
4	4	すべてのAはBである。すべてのBはCである。	すべてのAはCである。	All A are B. All B are C.	All A are C.	entailment	AAA	syllogism	symbolic	no	no
5	5	すべてのAはBである。すべてのBはCである。	あるAはCでない。	All A are B. All B are C.	Some A are not C.	contradiction	AAO	syllogism	symbolic	no	no
6	6	すべてのAはBである。すべてのBはCである。	すべてのCはAである。	All A are B. All B are C.	All C are A.	neutral	AAA	syllogism	symbolic	no	no
7	16	すべてのBはAである。あるBはCである。	すべてのAはCである。	All B are A. Some B are C.	All A are C.	neutral	AIA	syllogism	symbolic	no	no
8	17	すべてのBはAである。あるBはCである。	あるAはCである。	All B are A. Some B are C.	Some A are C.	entailment	AII	syllogism	symbolic	no	no
9	18	すべてのBはAである。あるBはCである。	あるAはCでない。	All B are A. Some B are C.	Some A are not C.	neutral	AIO	syllogism	symbolic	no	yes
10	19	すべてのBはAである。あるBはCでない。	あるAはCである。	All B are A. Some B are not C.	Some A are C.	neutral	AOI	syllogism	symbolic	no	yes
11	20	すべてのBはAである。あるBはCでない。	あるAはCでない。	All B are A. Some B are not C.	Some A are not C.	entailment	AOO	syllogism	symbolic	no	no
12	21	すべてのBはAである。あるBはCでない。	どのAもCでない。	All B are A. Some B are not C.	No A are C.	neutral	AOE	syllogism	symbolic	no	yes
13	73	どのBもCでない。すべてのAはBである。	すべてのAはCである。	No B are C. All A are B.	All A are C.	contradiction	EAA	syllogism	symbolic	no	no
14	74	どのBもCでない。すべてのAはBである。	あるAはCである。	No B are C. All A are B.	Some A are C.	contradiction	EAE	syllogism	symbolic	no	no
15	75	どのBもCでない。すべてのAはBである。	どのAもCでない。	No B are C. All A are B.	No A are C.	entailment	EAA	syllogism	symbolic	no	no
16	82	太郎のある友人はポールの友人である。 ポールのすべての友人はドイツ人である。	太郎のすべての友人はドイツ人である。	One friend of Taro is a friend of Paul. All of Paul's friends are German.	All of Taro's friends are German.	neutral	IAA	syllogism	congruent	no	no
17	83	太郎のある友人はポールの友人である。 ポールのすべての友人はドイツ人である。	太郎のある友人はドイツ人である。	One friend of Taro is a friend of Paul. All of Paul's friends are German.	One of Taro's friends is German.	entailment	IAI	syllogism	congruent	no	no
18	84	太郎のある友人はポールの友人である。 ポールのすべての友人はドイツ人である。	太郎のどの友人もドイツ人でない。	One friend of Taro is a friend of Paul. All of Paul's friends are German.	None of Taro's friends are German.	contradiction	IAE	syllogism	congruent	no	no
19	85	すべての太郎の友人はポールの友人である。 すべてのポールの友人はドイツ人である。	太郎のすべての友人はドイツ人である。	All Taro's friends are Paul's friends. All Paul's friends are German.	All of Taro's friends are German.	entailment	AAA	syllogism	congruent	no	no
20	86	すべての太郎の友人はポールの友人である。 すべてのポールの友人はドイツ人である。	太郎のある友人はドイツ人でない。	All Taro's friends are Paul's friends. All Paul's friends are German.	One friend of Taro's is not German.	contradiction	AAO	syllogism	congruent	no	no
21	87	すべての太郎の友人はポールの友人である。 すべてのポールの友人はドイツ人である。	すべてのドイツ人は太郎の友人である。	All Taro's friends are Paul's friends. All Paul's friends are German.	All Germans are friends of Taro.	neutral	AAA	syllogism	congruent	no	no
22	88	太郎のある友人はポールの友人である。 ポールのどの友人もドイツ人でない。	太郎のある友人はドイツ人でない。	One friend of Taro is a friend of Paul's. None of Paul's friends are German.	One friend of Taro's is not German.	entailment	IEO	syllogism	congruent	no	no
23	89	太郎のある友人はポールの友人である。 ポールのどの友人もドイツ人でない。	太郎のどの友人もドイツ人でない。	One friend of Taro is a friend of Paul's. None of Paul's friends are German.	None of Taro's friends are German.	neutral	IEE	syllogism	congruent	no	no
24	90	太郎のある友人はポールの友人である。 ポールのどの友人もドイツ人でない。	太郎のある友人はドイツ人である。	One friend of Taro is a friend of Paul's. None of Paul's friends are German.	One of Taro's friends is German.	neutral	IEI	syllogism	congruent	no	yes
25	91	太郎のすべての友人はポールの友人である。 ポールのどの友人もドイツ人でない。	太郎のすべての友人はドイツ人である。	All of Taro's friends are friends of Paul. None of Paul's friends are German.	All of Taro's friends are German.	contradiction	AEA	syllogism	congruent	no	no
26	92	太郎のすべての友人はポールの友人である。 ポールのどの友人もドイツ人でない。	太郎のある友人はドイツ人である。	All of Taro's friends are friends of Paul. None of Paul's friends are German.	One of Taro's friends is German.	contradiction	AEI	syllogism	congruent	no	no
27	93	太郎のすべての友人はポールの友人である。 ポールのどの友人もドイツ人でない。	太郎のどの友人もドイツ人でない。	All of Taro's friends are friends of Paul. None of Paul's friends are German.	None of Taro's friends are German.	entailment	AEE	syllogism	congruent	no	no
28	94	ナメクジ共和国のある同盟国はカエル帝国の同盟国である。 ナメクジ共和国のどの同盟国もアメ国の同盟国でない。	カエル帝国のある同盟国はアメ国の同盟国である。	Certain allies of the Slug Republic are allies of the Frog Empire. No allies of the Slug Republic are allies of the State of Candy.	Certain allies of the Frog Empire are allies of the State of Candy.	neutral	IEI	syllogism	congruent	no	yes
