ID	ORIGINAL_ID	premises_ja	hypothesis_ja	premises_en	hypothesis_en	gold	mood	inference-type	content-type	conversion	atmosphere
101	167	すべてのロボットは機械である。 あるロボットは商品でない。	ある機械は商品でない。	All robots are machines. Some robots are not commodities.	Some machines are not commodities.	entailment	AOO	syllogism	congruent	no	no
40	106	太郎のある友人はドイツ人でない。 ポールのすべての友人はドイツ人である。	太郎のある友人はポールの友人である。	Certain friends of Taro are not German. All of Paul's friends are German.	One friend of Taro is a friend of Paul's.	neutral	OAI	syllogism	congruent	no	yes
229	299	すべての男性は動物である。ある男性は人間である。	ある人間は動物である。	All men are animals. Some men are human beings.	Some humans are animals.	entailment	AII	syllogism	congruent	no	no
51	117	ポールのすべての友人はドイツ人である。 太郎のすべての友人はポールの友人である。	太郎のどの友人もドイツ人でない。	All friends of Paul are German. All friends of Taro are friends of Paul.	None of Taro's friends are German.	contradiction	AAE	syllogism	congruent	no	no
64	130	ヒツジカンパニーのある取引先はクジラ社の取引先でない。 ヒツジカンパニーのすべての取引先はトリ会社の取引先である。	トリ会社のある取引先はクジラ社の取引先である。	Certain clients of the Sheep Company are not clients of the Whale Corporation. All clients of the Sheep Company are clients of the Bird Corporation.	One of the Bird Corporation's clients is a client of the Whale Corporation.	neutral	OAI	syllogism	congruent	no	yes
90	156	ある教員は男性である。 どの男性も女性でない。	ある教員は女性である。	Some teacher is male. No men are women.	Some teacher is a woman.	neutral	IEI	syllogism	congruent	no	yes
47	113	イヌ会社のすべての取引先はクジラ社の取引先である。 ネコカンパニーのある取引先はイヌ会社の取引先である。	ネコカンパニーのすべての取引先はクジラ社の取引先である。	All clients of the Dog Corporation are clients of the Whale Corporation. Certain clients of the Cat Company are clients of the Dog Corporation.	All of the Cat Company's clients are clients of the Whale Corporation.	neutral	AIA	syllogism	congruent	no	no
34	100	ネコカンパニーのすべての取引先はイヌ会社の取引先である。 ネコカンパニーのある取引先はクジラ社の取引先でない。	イヌ会社のある取引先はクジラ社の取引先である。	All suppliers of the Cat Company are suppliers of the Dog Corporation. Certain suppliers of the Cat Company are not suppliers of the Whale Corporation.	One of the Dog Corporation's suppliers is a supplier of the Whale Corporation.	neutral	AII	syllogism	congruent	no	yes
57	123	リサのどの友人も日本人でない。 太郎のある友人はリサの友人である。	太郎のある友人は日本人である。	None of Lisa's friends are Japanese. One friend of Taro is a friend of Lisa's.	One of Taro's friends is Japanese.	neutral	EII	syllogism	congruent	no	yes
239	310	ある警察官は男性である。すべての警察官は公務員である。	ある男性は公務員である。	Some police officers are men. All police officers are civil servants.	Some man is a civil servant.	entailment	IAI	syllogism	congruent	no	no
243	314	すべての悪人は人間である。すべての泥棒は悪人である。	ある泥棒は人間である。	All wicked people are human. Every thief is a wicked person.	Some thieves are human.	entailment	AAI	syllogism	congruent	no	no
44	110	カエル帝国のすべての同盟国はナメクジ共和国の同盟国である。 アメ国のどの同盟国もナメクジ共和国の同盟国でない。	カエル帝国のある同盟国はアメ国の同盟国である。	All allies of the Frog Empire are allies of the Slug Republic. No allies of the State of Candy are allies of the Slug Rebublic.	Certain allies of the Frog Empire are allies of the State of Candy.	contradiction	AEI	syllogism	congruent	no	no
52	118	ナメクジ共和国のどの同盟国もカエル帝国の同盟国でない。 アメ国のすべての同盟国はナメクジ共和国の同盟国である。	アメ国のすべての同盟国はカエル帝国の同盟国である。	No allies of the Slug Republic are allies of the Frog Empire. All allies of the State of Candy are allies of the Slug Republic.	All allies of the State of Candy are allies of the Frog Empire.	contradiction	EAA	syllogism	congruent	no	no
24	90	太郎のある友人はポールの友人である。 ポールのどの友人もドイツ人でない。	太郎のある友人はドイツ人である。	One friend of Taro is a friend of Paul's. None of Paul's friends are German.	One of Taro's friends is German.	neutral	IEI	syllogism	congruent	no	yes
215	285	すべての木は植物である。すべての植物は生物である。	すべての木は生物である。	Every tree is a plant. All plants are living things.	All trees are living things.	entailment	AAA	syllogism	congruent	no	no
45	111	カエル帝国のすべての同盟国はナメクジ共和国の同盟国である。 アメ国のどの同盟国もナメクジ共和国の同盟国でない。	カエル帝国のどの同盟国もアメ国の同盟国でない。	All allies of the Frog Empire are allies of the Slug Republic. No allies of the State of Candy are allies of the Slug Republic.	No Frog Empire's allies are allies of the State of Candy.	entailment	AEE	syllogism	congruent	no	no
125	191	どのトリもイヌでない。 あるトリはペットである。	あるペットはイヌでない。	No bird are canines. Some birds are pets.	Certain pets are not canines.	entailment	EIO	syllogism	congruent	no	no
216	286	野球チームのあるものはプロチームである。すべてのプロチームは有名である。	野球チームのあるものは有名である。	Some baseball teams are professional teams. All professional teams are famous.	Some baseball teams are famous.	entailment	IAI	syllogism	congruent	no	no
49	115	ポールのすべての友人はドイツ人である。 太郎のすべての友人はポールの友人である。	太郎のすべての友人はドイツ人である。	All friends of Paul are German. All friends of Taro are friends of Paul.	All of Taro's friends are German.	entailment	AAA	syllogism	congruent	no	no
