ID	premise_en	hypothesis_en	gold	content-type	inference-pattern	modal
1	If the newly discovered planet has liquid water, then it is certain that it can support life. The newly discovered planet has liquid water.	It is certain that the newly discovered planet can support life.	entailment	congruent	Hyp-MP	epistemic
2	If the ancient civilization had advanced technology, then it is necessarily the case that they left behind complex artifacts. The ancient civilization had advanced technology.	It is necessarily the case that the ancient civilization left behind complex artifacts.	entailment	congruent	Hyp-MP	epistemic
3	If the economy experiences a recession, then it is known that unemployment rates will rise. The economy experiences a recession.	It is known that unemployment rates will rise.	entailment	congruent	Hyp-MP	epistemic
4	If the government implements the new policy, then it is established that it will have a significant impact on the environment. The government implements the new policy.	It is established that the new policy will have a significant impact on the environment.	entailment	congruent	Hyp-MP	epistemic
5	If the experiment is conducted correctly, then the results must have been accurate. The experiment is conducted correctly.	The results must have been accurate.	entailment	congruent	Hyp-MP	epistemic
6	If the painting is authentic, then it is certain that it is valuable. The painting is authentic.	It is certain that the painting is valuable.	entailment	congruent	Hyp-MP	epistemic
7	If the manuscript is written by that author, then it is necessarily the case that it contains specific stylistic features. The manuscript is written by that author.	It is necessarily the case that the manuscript contains specific stylistic features.	entailment	congruent	Hyp-MP	epistemic
8	If the company merges with its competitor, then it is known that its market share will increase. The company merges with its competitor.	It is known that the company's market share will increase.	entailment	congruent	Hyp-MP	epistemic
9	If the new drug is approved, then it is established that it will be available to patients soon. The new drug is approved.	It is established that the new drug will be available to patients soon.	entailment	congruent	Hyp-MP	epistemic
10	If the project is successful, then it must have been well-managed. The project is successful.	The project must have been well-managed.	entailment	congruent	Hyp-MP	epistemic
11	If the theory is correct, then it is certain that it can explain the observed phenomena. The theory is correct.	It is certain that the theory can explain the observed phenomena.	entailment	congruent	Hyp-MP	epistemic
12	If the policy is implemented, then it is necessarily the case that it will have social consequences. The policy is implemented.	It is necessarily the case that the policy will have social consequences.	entailment	congruent	Hyp-MP	epistemic
